num,title,description,format,status,AdDate,category,category1,category1_desc,category2,category2_desc,category3,category3_desc,Code,Campaign,Objective,Budget,Product,Start_Date,End_Date,Audience_Interest,Audience_Segment,Client,Client_Budget,City
1000,Discover the Ultimate Summer Deals!,Uncover the best summer deals that will make your season unforgettable. Discover a world of ultimate summer savings!,In-App Ads,Rejected,2019-05-25,"['Clothing', 'Accessories', 'Hats']",Clothing,Revamp your wardrobe with the latest fashion trends. Explore a wide range of stylish clothing options.,Accessories,"Complete your look with our fashionable accessories, from hats to scarves.",Hats,Top off your look with our stylish and functional hats for every occasion.,220000 WellnessWeek 2023-11-20,WellnessWeek,Emphasize wellness and self-care,50000,Racing Ferrol Socks M Official 25.64 All sports  Sweet fit,2023-11-20,2024-01-20,Digital Marketing - Business,25-55,Lozano y asociados S.A.,161000,"Lleida, Spain"
1001,Gizmo Gala: Exclusive Tech Extravaganza!,"Tech enthusiasts, rejoice! Tech Tuesday brings you exclusive offers on the latest gadgets and electronics. Don't miss out!",Email Marketing,Rejected,2020-02-13,"['Home', 'Bedroom', 'Bedding', 'Sheets']",Home,Create a cozy and welcoming home with our premium home decor and essentials for every room.,Bedroom,Create a relaxing and comfortable bedroom with our premium bedding essentials.,Bedding,Create a cozy and inviting bedroom atmosphere with our high-quality bedding essentials.,340000 SpringSale2024 2018-09-10,SpringSale2024,Boost sales during spring season,150000,UDG Tenerife Coat XL Official 320.64  Winter Cotton,2018-09-10,2019-09-10,Fashion - Shopping,18-35,Vendrell y asociados S.A.,470000,"Pontevedra, Spain"
1002,Celebrate the Holidays with Special Discounts!,Join the festive celebration with our special holiday discounts. Make your holidays extra special with our exclusive offers!,Influencer Marketing,Paused,2019-06-10,"['Automotive', 'Accessories', 'Car Mats']",Automotive,Maintain and accessorize your vehicle with our automotive parts and accessories.,Accessories,"Complete your look with our fashionable accessories, from hats to scarves.",Car Mats,Protect and personalize your car's interior with our durable and stylish car mats.,425000 MindfulMoments 2021-09-24,MindfulMoments,Promote mindfulness and relaxation,12000,Real Sociedad B Jersey 2XL Official 88.32  All Seasons Polyester,2021-09-24,2023-09-24,Reading - Education,20-60,Tecnologías Peinado S.A.,490000,"Sevilla, Spain"
1003,Autumn Vibes: Cozy Up with Fall Essentials!,Fall in love with fall fashion! Explore our latest collection and stay on-trend with cozy and stylish fall essentials.,Audio Ads,Pending Approval,2021-05-04,"['Electronics', 'Audio', 'Soundbars']",Electronics,Stay connected and updated with cutting-edge electronic gadgets and devices.,Audio,"Immerse yourself in superior audio quality with our collection of headphones, speakers, and soundbars.",Soundbars,Elevate your audio experience at home with our high-quality soundbars.,185000 MindfulMoments 2021-09-24,MindfulMoments,Promote mindfulness and relaxation,12000,Valencia Long Pants XL 137.98  Summer Blend,2021-09-24,2023-09-24,Reading - Education,20-60,Tecnologías Peinado S.A.,490000,"Sevilla, Spain"
1004,Fall Fashion Frenzy: Embrace the Season!,Embrace the fall season with our Fall Fashion Frenzy. Stay on trend and cozy up with our stylish fall essentials!,Pop-up Ads,Pending Approval,2023-02-06,"['Home', 'Kitchen', 'Cookware', 'Pots']",Home,Create a cozy and welcoming home with our premium home decor and essentials for every room.,Kitchen,Equip your kitchen with top-quality cookware and appliances for a culinary haven.,Cookware,Enhance your culinary skills with our premium and durable cookware.,480000 SizzlingSavings 2020-11-20,SizzlingSavings,Offer hot deals on a variety of products,500000,Real Sociedad Jersey XL Official 66.65  Summer Blend,2020-11-20,2025-11-20,Art - Creativity,20-50,Serra y asociados S.Coop.,620000,"Zaragoza, Spain"
1005,Fall Fashion Frenzy: Embrace the Season!,Embrace the fall season with our Fall Fashion Frenzy. Stay on trend and cozy up with our stylish fall essentials!,Sponsored Content,Scheduled,2020-10-13,"['Electronics', 'Audio', 'Earbuds']",Electronics,Stay connected and updated with cutting-edge electronic gadgets and devices.,Audio,"Immerse yourself in superior audio quality with our collection of headphones, speakers, and soundbars.",Earbuds,Immerse yourself in music and calls with our comfortable and high-quality earbuds.,80000 WellnessWeek 2023-11-20,WellnessWeek,Emphasize wellness and self-care,50000,Huesca Jersey 2XL 54.99  All Seasons Polyester,2023-11-20,2024-01-20,Digital Marketing - Business,25-55,Lozano y asociados S.A.,161000,"Lleida, Spain"
1006,Adventure Awaits: Explore New Horizons!,Embark on a new adventure with Adventure Awaits. Explore new horizons with our specially curated adventure-themed products!,Social Media Ads,Rejected,2023-11-11,"['Beauty', 'Haircare', 'Conditioners', 'Hydrating']",Beauty,"Enhance your beauty routine with our skincare, haircare, and beauty products for a radiant look.",Haircare,Nourish and style your hair with our range of premium haircare products.,Conditioners,Keep your hair silky-smooth with our hydrating and nourishing hair conditioners.,265000 YearEndClearance 2023-08-20,YearEndClearance,Clear out year-end inventory,50000,Eldense Sweatshirt S Official 109.31  Summer Blend,2023-08-20,2024-08-20,Wellness - Fitness,22-50,Comercializadora Ayala S.Coop.,825000,"Zaragoza, Spain"
1007,"New Year, New Savings: Kickstart 2024!",Game On! Level up your gaming experience with our latest releases and exclusive gaming deals!,Video Ads,Suspended,2018-06-30,"['Electronics', 'Smartwatches']",Electronics,Stay connected and updated with cutting-edge electronic gadgets and devices.,Smartwatches,Stay connected and monitor your health with our innovative smartwatches.,,,410000 HolidaySpecial 2023-08-20,HolidaySpecial,Create excitement for holiday shopping,500000,Betis Pencil Case  32.91 Ink Compartment,2023-08-20,2024-08-20,Tech - Gadgets,20-40,Salazar & Asociados S.Com.,803000,"Badajoz, Spain"
1008,Flash Friday Sale: Don't Miss Out!,Flash Friday Sale is back! Don't miss out on 24 hours of incredible discounts. Grab the best deals before they're gone!,Affiliate Marketing,Archived,2024-07-06,"['Toys', 'Outdoor', 'Water Toys']",Toys,Bring joy to your little ones with our selection of educational and entertaining toys.,Outdoor,Embrace the great outdoors with our outdoor gear and essentials for camping and hiking.,Water Toys,Make a splash and create lasting memories with our fun water toys.,135000 YearEndClearance 2023-08-20,YearEndClearance,Clear out year-end inventory,50000,Valladolid Pencil Case Official 26.41 Ink Compartment,2023-08-20,2024-08-20,Wellness - Fitness,22-50,Comercializadora Ayala S.Coop.,825000,"Zaragoza, Spain"
1009,Unleash Your Style with Our Spring Collection!,"Step into the new year with style and savings. Kickstart 2024 with our exclusive collection. New year, new savings!",Video Ads,Active,2020-12-20,"['Electronics', 'Audio', 'Soundbars']",Electronics,Stay connected and updated with cutting-edge electronic gadgets and devices.,Audio,"Immerse yourself in superior audio quality with our collection of headphones, speakers, and soundbars.",Soundbars,Elevate your audio experience at home with our high-quality soundbars.,340000 SpringSale2024 2018-09-10,SpringSale2024,Boost sales during spring season,150000,Rayo Vallecano Polo Shirt M Official 54.82  All Seasons Polyester,2018-09-10,2019-09-10,Fashion - Shopping,18-35,Vendrell y asociados S.A.,470000,"Pontevedra, Spain"
